#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  23000      2.54e+00    2.05e+00      5.51e-02    1.83e-02      1.13e-01    9.14e-02    1.0e-03
  23100      7.93e+00    8.55e+00      6.68e-02    5.09e-02      3.54e-01    3.82e-01    1.0e-03
  23200      2.79e+00    3.67e+00      1.44e-01    8.73e-02      1.23e-01    1.64e-01    1.0e-03
  23300      3.00e+00    2.07e+00      6.27e-02    4.26e-02      1.34e-01    9.22e-02    1.0e-03
  23400      4.05e+00    3.61e+00      7.23e-02    7.67e-02      1.80e-01    1.61e-01    1.0e-03
  23500      3.35e+00    2.91e+00      5.30e-02    3.42e-02      1.49e-01    1.30e-01    1.0e-03
  23600      2.84e+00    4.16e+00      1.00e-01    2.60e-02      1.26e-01    1.86e-01    1.0e-03
  23700      2.59e+00    2.36e+00      1.07e-01    1.32e-01      1.15e-01    1.03e-01    1.0e-03
  23800      2.92e+00    3.86e+00      9.27e-02    4.68e-02      1.30e-01    1.72e-01    1.0e-03
  23900      2.55e+00    2.83e+00      7.40e-02    1.84e-01      1.13e-01    1.25e-01    1.0e-03
  24000      2.39e+00    2.78e+00      5.42e-02    2.15e-01      1.07e-01    1.22e-01    1.0e-03
  24100      3.39e+00    2.80e+00      2.57e-02    2.53e-01      1.52e-01    1.22e-01    1.0e-03
  24200      2.85e+00    1.77e+00      1.08e-01    1.21e-01      1.26e-01    7.69e-02    1.0e-03
  24300      3.68e+00    2.72e+00      3.99e-02    2.15e-01      1.64e-01    1.19e-01    1.0e-03
  24400      3.17e+00    2.75e+00      4.17e-02    1.19e-01      1.41e-01    1.22e-01    1.0e-03
  24500      2.69e+00    2.22e+00      5.57e-02    4.46e-02      1.20e-01    9.90e-02    1.0e-03
  24600      2.72e+00    3.07e+00      4.03e-02    9.11e-02      1.22e-01    1.36e-01    1.0e-03
  24700      3.69e+00    2.94e+00      4.31e-02    1.68e-02      1.65e-01    1.32e-01    1.0e-03
  24800      2.33e+00    2.10e+00      4.23e-02    5.36e-02      1.04e-01    9.37e-02    1.0e-03
  24900      2.90e+00    3.92e+00      1.08e-01    3.53e-01      1.28e-01    1.71e-01    1.0e-03
  25000      3.59e+00    2.07e+00      6.86e-02    5.24e-03      1.59e-01    9.27e-02    1.0e-03
  25100      4.18e+00    3.02e+00      1.15e-01    1.15e-01      1.86e-01    1.34e-01    1.0e-03
  25200      2.52e+00    4.15e+00      5.41e-02    7.68e-02      1.12e-01    1.85e-01    1.0e-03
  25300      2.62e+00    4.03e+00      1.36e-01    1.60e-02      1.16e-01    1.80e-01    1.0e-03
  25400      3.11e+00    2.07e+00      4.89e-02    1.11e-02      1.38e-01    9.25e-02    1.0e-03
  25500      2.56e+00    3.21e+00      8.80e-02    2.04e-01      1.14e-01    1.42e-01    1.0e-03
