#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  17800      2.23e+00    2.84e+00      8.62e-02    1.03e-02      9.87e-02    1.27e-01    1.0e-03
  17900      2.76e+00    2.70e+00      5.65e-02    5.84e-02      1.23e-01    1.20e-01    1.0e-03
  18000      2.68e+00    1.89e+00      7.46e-02    1.25e-02      1.19e-01    8.46e-02    1.0e-03
  18100      2.56e+00    3.05e+00      9.69e-02    5.47e-02      1.13e-01    1.36e-01    1.0e-03
  18200      2.77e+00    3.32e+00      5.19e-02    5.03e-02      1.23e-01    1.48e-01    1.0e-03
  18300      2.41e+00    1.49e+00      1.22e-01    1.45e-01      1.06e-01    6.25e-02    1.0e-03
  18400      2.15e+00    2.17e+00      9.37e-02    7.01e-02      9.50e-02    9.66e-02    1.0e-03
  18500      2.94e+00    1.79e+00      9.26e-02    2.27e-02      1.30e-01    7.98e-02    1.0e-03
  18600      4.26e+00    2.30e+00      8.62e-02    4.27e-02      1.90e-01    1.03e-01    1.0e-03
  18700      2.87e+00    2.58e+00      8.51e-02    3.09e-02      1.27e-01    1.15e-01    1.0e-03
  18800      2.49e+00    4.32e+00      7.69e-02    5.61e-02      1.10e-01    1.93e-01    1.0e-03
  18900      2.00e+00    2.28e+00      1.68e-02    1.17e-01      8.94e-02    1.00e-01    1.0e-03
  19000      3.23e+00    3.02e+00      5.62e-02    9.61e-03      1.44e-01    1.35e-01    1.0e-03
  19100      2.05e+00    2.21e+00      4.72e-02    2.25e-01      9.15e-02    9.56e-02    1.0e-03
  19200      1.92e+00    2.06e+00      6.74e-02    6.60e-02      8.50e-02    9.16e-02    1.0e-03
  19300      2.89e+00    3.57e+00      6.39e-02    5.83e-02      1.29e-01    1.60e-01    1.0e-03
  19400      2.22e+00    2.82e+00      7.53e-02    2.15e-01      9.85e-02    1.24e-01    1.0e-03
  19500      2.39e+00    2.19e+00      1.60e-01    8.33e-02      1.05e-01    9.70e-02    1.0e-03
  19600      2.18e+00    2.24e+00      1.16e-01    1.17e-01      9.56e-02    9.85e-02    1.0e-03
  19700      2.19e+00    2.16e+00      1.12e-01    4.10e-02      9.59e-02    9.62e-02    1.0e-03
  19800      2.21e+00    2.72e+00      8.25e-02    1.61e-01      9.79e-02    1.20e-01    1.0e-03
  19900      2.77e+00    2.24e+00      1.51e-01    1.08e-01      1.20e-01    9.87e-02    1.0e-03
  20000      2.54e+00    2.17e+00      7.68e-02    3.60e-02      1.13e-01    9.68e-02    1.0e-03
  20100      3.53e+00    2.31e+00      1.52e-01    1.19e-01      1.52e-01    1.02e-01    1.0e-03
  20200      2.29e+00    1.54e+00      1.84e-02    1.20e-01      1.02e-01    6.62e-02    1.0e-03
  20300      2.88e+00    2.18e+00      1.05e-01    4.26e-02      1.27e-01    9.71e-02    1.0e-03
  20400      3.28e+00    2.07e+00      1.04e-01    3.50e-02      1.46e-01    9.25e-02    1.0e-03
  20500      2.67e+00    2.05e+00      9.70e-02    6.81e-02      1.18e-01    9.13e-02    1.0e-03
  20600      3.45e+00    2.43e+00      9.14e-02    3.88e-02      1.53e-01    1.08e-01    1.0e-03
  20700      2.14e+00    1.90e+00      6.50e-02    1.09e-01      9.53e-02    8.34e-02    1.0e-03
  20800      2.73e+00    1.97e+00      9.19e-02    1.15e-03      1.21e-01    8.80e-02    1.0e-03
  20900      2.39e+00    2.11e+00      2.69e-02    3.05e-02      1.07e-01    9.42e-02    1.0e-03
  21000      2.24e+00    1.89e+00      8.03e-02    1.07e-02      9.95e-02    8.44e-02    1.0e-03
